mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6845688819885254,0.02513828292991384,0.006379556655883789,0.0008079710434681366,0.6,0.5,3,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6}",0.9357601713062098,0.9334763948497854,0.9227467811158798,0.9399141630901288,0.9356223175965666,0.9335049335049335,0.005767596102139565,149
0.6750215530395508,0.013464015304750925,0.00537724494934082,0.0004965270869403747,0.6,0.5,3,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8}",0.9314775160599572,0.9313304721030042,0.9313304721030042,0.9377682403433476,0.9356223175965666,0.9335049335049335,0.002691444323007431,149
0.6177412986755371,0.0415884914135697,0.004796266555786133,0.00040373292793384523,0.6,0.5,3,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0}",0.9314775160599572,0.9356223175965666,0.9206008583690987,0.9356223175965666,0.9356223175965666,0.9317889317889317,0.005818626327923933,250
0.6383114814758301,0.02571178789806917,0.005583047866821289,0.0010163904661822385,0.6,0.5,3,5,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6}",0.9357601713062098,0.9227467811158798,0.9184549356223176,0.9356223175965666,0.9420600858369099,0.9309309309309309,0.008851005158310124,295
0.664221715927124,0.013263251657064271,0.006190299987792969,0.0007541103450089792,0.6,0.5,3,5,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8}",0.9357601713062098,0.9313304721030042,0.9291845493562232,0.9399141630901288,0.9377682403433476,0.9347919347919348,0.0039856120822726595,72
0.635117769241333,0.019167242587995903,0.005598688125610351,0.00048608445455842385,0.6,0.5,3,5,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0}",0.9336188436830836,0.9313304721030042,0.9184549356223176,0.944206008583691,0.9377682403433476,0.9330759330759331,0.008518875289879053,171
0.6137607097625732,0.013875516987598653,0.0053771018981933595,0.0010261052414531234,0.6,0.5,3,10,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6}",0.9379014989293362,0.9291845493562232,0.9163090128755365,0.9377682403433476,0.9334763948497854,0.9309309309309309,0.007982917457924238,295
0.6247589588165283,0.01744593655835933,0.005365180969238281,0.0004789220625060287,0.6,0.5,3,10,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.8}",0.9357601713062098,0.927038626609442,0.924892703862661,0.9377682403433476,0.9356223175965666,0.9322179322179323,0.005203771916756896,227
0.6319187164306641,0.005450682763382296,0.00558929443359375,0.0013501776575539956,0.6,0.5,3,10,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 1.0}",0.9229122055674518,0.924892703862661,0.9206008583690987,0.9399141630901288,0.9334763948497854,0.9283569283569284,0.00723232274319282,377
0.8250077724456787,0.025223970648523452,0.006784868240356445,0.0007531985386509485,0.6,0.5,4,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.6}",0.9336188436830836,0.9291845493562232,0.9356223175965666,0.9377682403433476,0.9399141630901288,0.9352209352209352,0.003678515490389286,53
0.8455558300018311,0.028867118586401376,0.007178592681884766,0.000975717778987965,0.6,0.5,4,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8}",0.9379014989293362,0.9356223175965666,0.927038626609442,0.9356223175965666,0.9356223175965666,0.9343629343629344,0.0037662048079724307,92
0.81044921875,0.020698832277564114,0.006770420074462891,0.0010000871063463993,0.6,0.5,4,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 1.0}",0.9357601713062098,0.9313304721030042,0.9206008583690987,0.9399141630901288,0.9334763948497854,0.9322179322179323,0.006465977932622577,227
0.7659759044647216,0.017613994039557233,0.006388950347900391,0.0004975194328054306,0.6,0.5,4,5,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.6}",0.9357601713062098,0.924892703862661,0.927038626609442,0.9377682403433476,0.9420600858369099,0.9335049335049335,0.006516991835741723,149
0.777329683303833,0.040128008637756195,0.007174921035766601,0.0007400056490650292,0.6,0.5,4,5,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8}",0.9336188436830836,0.9313304721030042,0.927038626609442,0.9356223175965666,0.9377682403433476,0.9330759330759331,0.003694959045832043,171
0.7633723735809326,0.024698057343631785,0.006566095352172852,0.0011916297337089645,0.6,0.5,4,5,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 1.0}",0.9293361884368309,0.9313304721030042,0.924892703862661,0.9420600858369099,0.9399141630901288,0.9335049335049335,0.006488343778923379,149
